task,gender,gender-input,age,tech-level,edu-level,s_social_skills,s_creativity,d_effort,d_expertise,d_abilities,r_accountable,r_uncertainty,r_impact,t_machine_ability,t_process,t_values,label
"Advising people on nutrition/their diet to help improve their health, similar to what a nutritionist might do",male,,56-65,3,4,4,4,3,4,4,4,4,3,4,3,4,3
"Advising people on nutrition/their diet to help improve their health, similar to what a nutritionist might do",male,,36-45,4,5,4,2,2,4,5,3,2,3,4,3,3,2
"Advising people on nutrition/their diet to help improve their health, similar to what a nutritionist might do",male,,56-65,4,5,4,2,4,4,5,3,4,2,4,4,4,2
"Advising people on nutrition/their diet to help improve their health, similar to what a nutritionist might do",female,,56-65,4,5,2,2,2,4,4,4,2,4,4,1,4,3
"Advising people on nutrition/their diet to help improve their health, similar to what a nutritionist might do",female,,56-65,4,4,2,2,2,2,4,2,2,3,4,4,4,1
Analyzing and controlling the flow of traffic in a city,female,,56-65,3,5,1,1,5,5,5,4,4,5,1,5,1,3
Analyzing and controlling the flow of traffic in a city,male,,26-35,5,5,4,3,4,4,4,4,4,5,4,4,4,2
Analyzing and controlling the flow of traffic in a city,male,,26-35,5,5,2,3,4,4,4,4,3,4,5,4,4,3
Analyzing and controlling the flow of traffic in a city,female,,46-55,3,3,2,4,4,4,4,4,4,4,4,4,3,2
Analyzing and controlling the flow of traffic in a city,female,,36-45,4,5,3,4,4,3,4,4,5,4,4,4,3,1
Analyzing and critiquing aesthetic qualities of photographs or other forms of art,male,,26-35,5,5,4,5,2,2,4,1,2,1,2,4,2,4
Analyzing and critiquing aesthetic qualities of photographs or other forms of art,male,,26-35,4,5,5,3,4,5,5,2,4,2,4,4,4,3
Analyzing and critiquing aesthetic qualities of photographs or other forms of art,female,,36-45,4,5,5,5,4,3,4,2,3,2,1,4,2,4
Analyzing and critiquing aesthetic qualities of photographs or other forms of art,female,,36-45,3,2,4,5,3,3,4,4,4,4,2,4,4,4
Analyzing and critiquing aesthetic qualities of photographs or other forms of art,female,,26-35,4,5,1,5,3,2,5,4,5,1,2,5,1,4
"Analyzing and sorting legal documents for important information, e.g., to find legal precedents for arguing a case in court (similar to some of what a paralegal might do)",male,,26-35,4,3,2,5,5,5,4,4,4,5,4,4,4,3
"Analyzing and sorting legal documents for important information, e.g., to find legal precedents for arguing a case in court (similar to some of what a paralegal might do)",male,,26-35,4,3,5,4,5,4,5,5,5,5,2,4,2,3
"Analyzing and sorting legal documents for important information, e.g., to find legal precedents for arguing a case in court (similar to some of what a paralegal might do)",male,,66-75,3,2,1,4,5,4,4,3,3,4,4,3,4,3
"Analyzing and sorting legal documents for important information, e.g., to find legal precedents for arguing a case in court (similar to some of what a paralegal might do)",male,,26-35,4,5,2,3,4,4,4,4,4,4,4,4,4,2
"Analyzing and sorting legal documents for important information, e.g., to find legal precedents for arguing a case in court (similar to some of what a paralegal might do)",female,,36-45,2,3,4,4,4,4,4,4,3,4,3,4,4,3
Analyzing financial market conditions and executing market orders for a large company (e.g. buy/sell stocks),male,,26-35,4,3,3,3,2,4,3,3,4,2,3,3,4,1
Analyzing financial market conditions and executing market orders for a large company (e.g. buy/sell stocks),male,,46-55,4,3,5,3,5,5,5,5,5,5,3,4,3,3
Analyzing financial market conditions and executing market orders for a large company (e.g. buy/sell stocks),male,,26-35,3,5,2,3,2,5,5,5,3,4,4,4,3,2
Analyzing financial market conditions and executing market orders for a large company (e.g. buy/sell stocks),female,,18-25,3,5,4,3,3,3,4,5,2,4,5,4,4,2
Analyzing financial market conditions and executing market orders for a large company (e.g. buy/sell stocks),female,,26-35,4,5,1,1,4,5,4,4,4,4,4,4,4,3
Arguing your case when you're a defendant in a criminal court,male,,46-55,5,5,5,5,5,5,5,5,3,5,1,5,1,3
Arguing your case when you're a defendant in a criminal court,male,,18-25,3,5,5,5,5,5,5,4,4,5,2,2,3,3
Arguing your case when you're a defendant in a criminal court,male,,18-25,5,5,4,5,5,5,4,5,2,4,2,4,3,3
Arguing your case when you're a defendant in a criminal court,male,,36-45,5,5,1,5,5,5,5,5,5,5,2,5,1,4
Arguing your case when you're a defendant in a criminal court,female,,36-45,4,4,5,5,5,5,5,5,5,5,2,2,1,3
Asking a person out on a date,female,,26-35,3,3,5,4,3,3,3,2,3,2,2,3,2,4
Asking a person out on a date,female,,36-45,4,5,5,2,2,2,5,3,5,2,2,5,2,4
Asking a person out on a date,male,,56-65,5,3,5,4,4,5,4,3,5,2,4,5,4,2
Asking a person out on a date,female,,26-35,4,4,5,4,2,1,4,3,4,4,2,4,2,4
Asking a person out on a date,female,,46-55,3,5,5,2,2,1,5,3,5,2,2,4,2,4
Assembling automobiles in a factory,male,,36-45,4,2,2,3,4,4,4,4,2,4,4,4,5,2
Assembling automobiles in a factory,female,,26-35,4,5,2,2,5,2,4,5,2,4,4,4,5,2
Assembling automobiles in a factory,male,,26-35,4,3,3,3,4,5,4,5,3,5,3,3,4,3
Assembling automobiles in a factory,male,,26-35,5,5,1,2,4,4,4,4,4,4,4,2,3,3
Assembling automobiles in a factory,male,,26-35,4,3,1,1,4,4,4,5,4,4,5,4,4,2
Assisting an elderly person with showering or bathing,male,,36-45,5,4,2,2,5,3,4,4,4,5,4,4,2,2
Assisting an elderly person with showering or bathing,male,,26-35,5,3,3,4,4,4,4,4,4,4,4,4,4,2
Assisting an elderly person with showering or bathing,male,,56-65,4,3,4,4,4,3,4,4,4,4,2,4,4,3
Assisting an elderly person with showering or bathing,female,,18-25,5,5,4,1,4,1,5,4,3,2,2,2,3,4
Assisting an elderly person with showering or bathing,female,,26-35,4,5,5,4,2,4,5,5,4,5,2,4,2,3
Assisting your elderly parent,male,,36-45,3,5,4,3,4,3,4,4,3,4,3,2,3,3
Assisting your elderly parent,female,,56-65,3,3,5,5,5,4,5,5,3,5,3,5,3,2
Assisting your elderly parent,male,,18-25,3,2,4,4,4,2,4,4,4,4,2,4,2,3
Assisting your elderly parent,male,,26-35,5,5,5,2,5,1,5,5,1,4,5,5,5,2
Assisting your elderly parent,female,,26-35,2,3,5,5,4,3,5,4,2,2,4,2,4,3
Babysitting your child,female,,56-65,3,3,4,4,4,3,4,5,4,5,2,4,2,3
Babysitting your child,female,,26-35,3,4,5,5,5,4,5,5,4,5,1,5,1,4
Babysitting your child,male,,46-55,4,5,3,3,3,4,3,5,4,5,3,3,3,2
Babysitting your child,male,,26-35,5,3,4,4,5,5,5,5,4,5,2,3,2,3
Babysitting your child,male,,36-45,5,5,5,5,5,4,4,5,5,5,1,1,1,4
Breaking up with your romantic partner,female,,36-45,3,2,5,2,3,1,3,4,2,2,4,2,2,3
Breaking up with your romantic partner,male,,26-35,4,4,4,1,3,3,2,4,2,4,2,3,1,3
Breaking up with your romantic partner,female,,36-45,3,5,5,4,3,3,4,2,3,4,1,4,2,4
Breaking up with your romantic partner,female,,36-45,2,5,5,2,2,1,5,2,4,4,4,2,2,3
Breaking up with your romantic partner,male,,26-35,4,5,5,3,5,2,4,2,3,4,2,4,2,4
Brushing your teeth,male,,26-35,5,5,1,1,1,1,5,1,1,1,5,2,5,1
Brushing your teeth,male,,26-35,5,3,1,1,1,1,5,2,1,1,3,2,3,4
Brushing your teeth,female,,26-35,5,4,1,2,4,2,4,4,2,5,3,4,4,3
Brushing your teeth,male,,36-45,5,5,1,2,1,1,5,1,1,2,5,1,4,1
Brushing your teeth,female,,46-55,3,4,1,3,4,2,5,1,3,2,2,3,3,4
Buying groceries,female,,36-45,3,5,2,2,2,1,4,4,4,2,4,2,4,4
Buying groceries,female,,26-35,4,5,2,2,2,2,4,1,2,1,4,4,4,4
Buying groceries,male,,46-55,5,5,1,2,2,1,5,5,2,2,5,4,5,2
Buying groceries,female,,36-45,2,4,2,2,2,1,5,4,2,4,4,4,4,3
Buying groceries,female,,36-45,4,3,4,4,4,4,4,4,1,1,4,4,4,3
Choosing and ordering food to eat for dinner,male,,26-35,3,3,1,1,4,1,5,3,3,1,5,3,4,1
Choosing and ordering food to eat for dinner,male,,56-65,3,5,3,2,1,2,4,3,4,3,3,5,3,2
Choosing and ordering food to eat for dinner,female,,26-35,3,5,4,2,1,1,5,2,1,1,4,4,4,3
Choosing and ordering food to eat for dinner,male,,26-35,5,3,4,3,4,2,4,4,4,4,3,5,3,3
Choosing and ordering food to eat for dinner,male,,36-45,5,5,4,4,2,1,5,2,2,2,4,3,4,2
Choreographing dance moves for a person to perform,male,,18-25,5,5,3,2,2,4,4,3,3,2,3,3,4,4
Choreographing dance moves for a person to perform,female,,18-25,4,2,3,5,4,4,4,4,3,2,4,5,4,3
Choreographing dance moves for a person to perform,male,,18-25,5,4,4,2,4,4,5,4,3,4,5,2,4,1
Choreographing dance moves for a person to perform,male,,26-35,3,5,1,4,4,4,5,3,5,1,4,2,4,2
Choreographing dance moves for a person to perform,female,,26-35,4,4,4,5,4,3,5,3,2,1,4,2,2,3
"Cleaning up toxic waste, e.g., after a chemical spill",female,,26-35,4,5,2,4,5,3,3,5,4,4,3,3,4,2
"Cleaning up toxic waste, e.g., after a chemical spill",male,,18-25,4,5,5,5,5,5,5,5,5,5,4,5,5,2
"Cleaning up toxic waste, e.g., after a chemical spill",male,,26-35,3,4,5,5,5,5,4,4,3,4,2,2,2,3
"Cleaning up toxic waste, e.g., after a chemical spill",female,,36-45,4,5,4,5,5,4,3,4,4,4,3,4,3,3
"Cleaning up toxic waste, e.g., after a chemical spill",male,,56-65,3,5,1,2,5,4,4,5,3,4,4,3,3,3
Cleaning your house,male,,56-65,4,5,2,2,4,4,4,4,4,2,3,2,4,3
Cleaning your house,female,,26-35,3,2,1,3,3,2,5,2,2,3,5,4,4,3
Cleaning your house,male,,36-45,4,2,2,4,5,2,5,4,2,4,4,4,4,2
Cleaning your house,male,,26-35,3,4,5,3,4,2,5,2,2,1,4,4,3,2
Cleaning your house,female,,36-45,3,5,1,4,5,2,4,4,4,5,2,4,3,3
Conducting a risk prognosis assessment for deciding which patients to transfer to the ICU given limited resources (intensive care),male,,18-25,4,3,2,3,4,5,5,5,3,5,3,5,3,3
Conducting a risk prognosis assessment for deciding which patients to transfer to the ICU given limited resources (intensive care),male,,26-35,4,5,4,4,4,5,5,5,3,5,4,4,4,2
Conducting a risk prognosis assessment for deciding which patients to transfer to the ICU given limited resources (intensive care),male,,18-25,5,5,2,4,4,4,4,4,4,3,4,4,4,2
Conducting a risk prognosis assessment for deciding which patients to transfer to the ICU given limited resources (intensive care),female,,36-45,4,5,2,1,2,5,4,4,5,5,5,5,4,2
Conducting a risk prognosis assessment for deciding which patients to transfer to the ICU given limited resources (intensive care),female,,46-55,3,4,5,4,4,4,3,5,4,5,1,1,1,4
Cooking dinner,male,,26-35,4,3,1,4,4,3,5,4,4,2,3,3,3,4
Cooking dinner,male,,56-65,3,2,4,5,4,3,5,3,4,2,2,4,3,3
Cooking dinner,male,,26-35,4,5,2,5,4,3,5,4,4,2,2,4,3,3
Cooking dinner,female,,36-45,4,5,1,4,4,3,2,3,3,2,4,4,4,3
Cooking dinner,male,,26-35,4,5,2,4,4,4,5,4,5,2,2,4,3,2
"Coordinating and oversee construction of a building, e.g., consulting with engineers, surveyors, specialists, and construction workers -- similar to some of what an architect might do.",female,,18-25,4,2,5,3,4,5,4,4,2,4,4,4,2,3
"Coordinating and oversee construction of a building, e.g., consulting with engineers, surveyors, specialists, and construction workers -- similar to some of what an architect might do.",male,,46-55,4,5,4,4,4,4,4,4,4,4,2,4,2,3
"Coordinating and oversee construction of a building, e.g., consulting with engineers, surveyors, specialists, and construction workers -- similar to some of what an architect might do.",male,,26-35,5,5,4,3,4,2,5,5,2,4,4,2,2,3
"Coordinating and oversee construction of a building, e.g., consulting with engineers, surveyors, specialists, and construction workers -- similar to some of what an architect might do.",female,,36-45,3,4,2,2,5,5,4,5,5,5,3,2,2,3
"Coordinating and oversee construction of a building, e.g., consulting with engineers, surveyors, specialists, and construction workers -- similar to some of what an architect might do.",male,,46-55,5,5,4,3,4,4,4,4,4,4,4,4,4,3
"Cutting, drying, and styling hair, similar to what a barber or hairstylist might do",male,,26-35,4,5,4,4,2,4,4,4,2,2,2,2,2,4
"Cutting, drying, and styling hair, similar to what a barber or hairstylist might do",female,,26-35,3,3,2,5,4,5,5,5,4,4,1,4,2,4
"Cutting, drying, and styling hair, similar to what a barber or hairstylist might do",male,,36-45,4,3,4,5,3,3,5,3,4,2,3,4,3,4
"Cutting, drying, and styling hair, similar to what a barber or hairstylist might do",female,,46-55,3,5,4,4,5,5,5,4,4,4,2,5,1,4
"Cutting, drying, and styling hair, similar to what a barber or hairstylist might do",male,,36-45,4,5,4,5,3,4,4,5,3,4,3,3,2,4
Deciding military actions such as whether to launch airstrikes,male,,26-35,4,3,2,2,4,5,4,5,3,4,3,4,2,3
Deciding military actions such as whether to launch airstrikes,female,,46-55,3,5,5,4,5,5,5,5,5,5,2,4,2,3
Deciding military actions such as whether to launch airstrikes,male,,36-45,4,3,2,4,3,5,5,4,3,4,2,4,3,3
Deciding military actions such as whether to launch airstrikes,male,,66-75,3,4,5,4,4,5,4,5,3,5,2,4,3,3
Deciding military actions such as whether to launch airstrikes,male,,26-35,4,3,3,2,4,5,4,5,4,5,2,3,2,3
Deciding on an outfit for you to wear,female,,36-45,3,3,3,4,3,3,5,3,3,1,4,3,3,2
Deciding on an outfit for you to wear,male,,56-65,5,5,4,4,3,2,4,2,2,4,4,4,4,2
Deciding on an outfit for you to wear,male,,18-25,3,5,2,4,2,1,4,2,2,1,4,4,4,2
Deciding on an outfit for you to wear,female,,36-45,4,5,3,5,3,3,5,4,5,2,2,4,3,3
Deciding on an outfit for you to wear,female,,26-35,5,4,4,4,4,4,4,2,2,2,3,2,2,4
Deciding which applicants receive a loan from a bank (loan assessment),male,,26-35,5,5,3,1,4,4,5,5,3,4,3,5,3,3
Deciding which applicants receive a loan from a bank (loan assessment),male,,18-25,4,3,2,4,4,4,4,4,4,4,4,5,4,2
Deciding which applicants receive a loan from a bank (loan assessment),female,,56-65,5,5,2,3,3,4,4,3,3,3,4,4,4,2
Deciding which applicants receive a loan from a bank (loan assessment),male,,26-35,4,2,4,4,2,4,5,4,4,2,5,5,5,1
Deciding which applicants receive a loan from a bank (loan assessment),female,,36-45,3,3,1,1,1,1,1,1,1,5,4,4,1,2
Deciding which applicants to hire as new employees for an open position at work,female,,46-55,3,4,4,4,5,4,4,5,3,3,3,4,3,2
Deciding which applicants to hire as new employees for an open position at work,male,,26-35,4,3,5,3,2,4,4,4,2,3,2,5,2,3
Deciding which applicants to hire as new employees for an open position at work,male,,26-35,4,5,4,2,3,2,3,3,4,5,2,3,3,3
Deciding which applicants to hire as new employees for an open position at work,female,,56-65,5,5,5,5,2,3,3,2,2,4,1,5,1,4
Deciding which applicants to hire as new employees for an open position at work,female,,26-35,4,3,4,4,4,5,5,5,4,4,4,5,4,2
Describing images or scenes for visually impaired people,male,,36-45,4,3,4,4,4,2,4,3,4,2,2,4,2,2
Describing images or scenes for visually impaired people,male,,26-35,3,blank,5,5,5,5,5,5,5,5,3,5,3,4
Describing images or scenes for visually impaired people,male,,46-55,4,5,2,2,3,2,4,3,2,3,4,3,3,3
Describing images or scenes for visually impaired people,female,,56-65,3,3,5,5,4,4,4,4,3,4,4,4,3,3
Describing images or scenes for visually impaired people,female,,46-55,4,5,4,3,2,4,4,5,2,4,4,5,4,3
Designing new clothing to manufacture and sell (similar to what a fashion designer might do),female,,56-65,4,3,4,5,4,4,5,4,4,2,1,2,1,4
Designing new clothing to manufacture and sell (similar to what a fashion designer might do),female,,18-25,5,5,5,5,5,5,5,5,5,3,1,2,2,4
Designing new clothing to manufacture and sell (similar to what a fashion designer might do),female,,26-35,4,4,4,5,5,2,5,5,3,1,2,2,2,4
Designing new clothing to manufacture and sell (similar to what a fashion designer might do),male,,18-25,4,3,2,5,4,4,5,4,1,1,2,2,2,3
Designing new clothing to manufacture and sell (similar to what a fashion designer might do),female,,46-55,3,3,4,5,4,4,5,5,4,5,2,4,1,3
"Detecting and removing fake/deceptive online reviews (e.g., for hotels or products)",female,,36-45,3,5,2,1,4,2,4,5,2,2,2,4,2,3
"Detecting and removing fake/deceptive online reviews (e.g., for hotels or products)",male,,36-45,3,5,4,4,2,2,4,4,4,2,3,3,2,3
"Detecting and removing fake/deceptive online reviews (e.g., for hotels or products)",female,,56-65,3,3,5,5,1,1,5,5,3,3,1,5,1,3
"Detecting and removing fake/deceptive online reviews (e.g., for hotels or products)",female,,56-65,2,5,4,3,4,4,3,2,4,4,2,4,3,2
"Detecting and removing fake/deceptive online reviews (e.g., for hotels or products)",female,,26-35,2,5,4,3,5,3,4,4,2,2,2,4,3,3
Detecting/recognizing abnormal or suspicious activities of people in crowds in public places for the purposes of security and safety (similar to part of what a police officer might do),male,,26-35,3,2,5,5,5,5,4,5,3,5,3,5,3,3
Detecting/recognizing abnormal or suspicious activities of people in crowds in public places for the purposes of security and safety (similar to part of what a police officer might do),male,,26-35,5,5,4,5,4,3,4,4,3,3,3,4,3,3
Detecting/recognizing abnormal or suspicious activities of people in crowds in public places for the purposes of security and safety (similar to part of what a police officer might do),male,,26-35,3,2,1,1,5,2,5,4,5,5,2,4,3,3
Detecting/recognizing abnormal or suspicious activities of people in crowds in public places for the purposes of security and safety (similar to part of what a police officer might do),female,,26-35,4,5,4,2,5,5,4,5,4,5,2,2,3,3
Detecting/recognizing abnormal or suspicious activities of people in crowds in public places for the purposes of security and safety (similar to part of what a police officer might do),female,,26-35,4,5,4,4,5,4,3,4,4,4,4,4,4,2
Devising treatment plans for patients sick with the flu,female,,18-25,3,5,1,1,1,2,4,5,3,2,5,5,5,2
Devising treatment plans for patients sick with the flu,male,,26-35,5,5,5,5,5,5,5,5,1,5,1,1,3,4
Devising treatment plans for patients sick with the flu,male,,36-45,3,2,4,4,4,3,4,4,3,2,4,4,4,2
Devising treatment plans for patients sick with the flu,male,,26-35,3,5,4,2,2,4,5,3,4,4,3,4,3,3
Devising treatment plans for patients sick with the flu,male,,18-25,5,3,4,2,3,4,4,3,3,4,5,5,5,2
Devising treatment plans for patients with cancer,female,,46-55,4,5,4,5,5,5,5,5,4,5,4,5,4,3
Devising treatment plans for patients with cancer,female,,56-65,3,4,2,2,4,4,5,4,4,4,3,4,3,3
Devising treatment plans for patients with cancer,female,,26-35,4,5,4,4,4,4,4,4,4,5,2,4,2,3
Devising treatment plans for patients with cancer,male,,26-35,3,5,5,5,5,5,5,5,3,5,2,5,2,4
Devising treatment plans for patients with cancer,female,,36-45,4,3,3,2,4,5,5,4,4,5,1,1,1,4
Devising treatment plans for patients with depression,female,,26-35,3,5,4,4,4,4,4,5,2,4,2,4,4,4
Devising treatment plans for patients with depression,male,,66-75,3,2,4,4,4,4,4,3,4,4,4,4,4,3
